category,canonical,string_to_replace,alias,ipa,priority
Weitere Begriffe,daif,daif,Da-iif,/dˤaʕiːf/,extended
Ḥadīṯ-Wissenschaften,Mawḍūʿ,Mawḍūʿ,Mawduu-,/mawdˤuːʕ/,extended
Weitere Begriffe,Mawdu',Mawdu',Mawduu-,/mawdˤuːʕ/,extended
Weitere Begriffe,Mawdu,Mawdu,Mawduu-,/mawdˤuːʕ/,extended
Weitere Begriffe,mawḍūʿ,mawḍūʿ,Mawduu-,/mawdˤuːʕ/,extended
Weitere Begriffe,mawdu',mawdu',Mawduu-,/mawdˤuːʕ/,extended
Weitere Begriffe,mawdu,mawdu,Mawduu-,/mawdˤuːʕ/,extended
Ḥadīṯ-Wissenschaften,Mursal,Mursal,Mursal,/mursal/,extended
Weitere Begriffe,mursal,mursal,Mursal,/mursal/,extended
Ḥadīṯ-Wissenschaften,Munqaṭiʿ,Munqaṭiʿ,Munqati-,/munqatˤiʕ/,extended
Weitere Begriffe,Munqati',Munqati',Munqati-,/munqatˤiʕ/,extended
Weitere Begriffe,Munqati,Munqati,Munqati-,/munqatˤiʕ/,extended
Weitere Begriffe,munqaṭiʿ,munqaṭiʿ,Munqati-,/munqatˤiʕ/,extended
Weitere Begriffe,munqati',munqati',Munqati-,/munqatˤiʕ/,extended
Weitere Begriffe,munqati,munqati,Munqati-,/munqatˤiʕ/,extended
Ḥadīṯ-Wissenschaften,Muʿḍal,Muʿḍal,Mu-dal,/muʕdˤal/,extended
Weitere Begriffe,Mu'dal,Mu'dal,Mu-dal,/muʕdˤal/,extended
Weitere Begriffe,Mudal,Mudal,Mu-dal,/muʕdˤal/,extended
Weitere Begriffe,muʿḍal,muʿḍal,Mu-dal,/muʕdˤal/,extended
Weitere Begriffe,mu'dal,mu'dal,Mu-dal,/muʕdˤal/,extended
Weitere Begriffe,mudal,mudal,Mu-dal,/muʕdˤal/,extended
Ḥadīṯ-Wissenschaften,Muʿallaq,Muʿallaq,Mu-allaq,/muʕallaq/,extended
Weitere Begriffe,Mu'allaq,Mu'allaq,Mu-allaq,/muʕallaq/,extended
Weitere Begriffe,Muallaq,Muallaq,Mu-allaq,/muʕallaq/,extended
Weitere Begriffe,muʿallaq,muʿallaq,Mu-allaq,/muʕallaq/,extended
Weitere Begriffe,mu'allaq,mu'allaq,Mu-allaq,/muʕallaq/,extended
Weitere Begriffe,muallaq,muallaq,Mu-allaq,/muʕallaq/,extended
Ḥadīṯ-Wissenschaften,Marfūʿ,Marfūʿ,Marfuu-,/marfuːʕ/,extended
Weitere Begriffe,Marfu',Marfu',Marfuu-,/marfuːʕ/,extended
Weitere Begriffe,Marfu,Marfu,Marfuu-,/marfuːʕ/,extended
Weitere Begriffe,marfūʿ,marfūʿ,Marfuu-,/marfuːʕ/,extended
Weitere Begriffe,marfu',marfu',Marfuu-,/marfuːʕ/,extended
Weitere Begriffe,marfu,marfu,Marfuu-,/marfuːʕ/,extended
Ḥadīṯ-Wissenschaften,Mawqūf,Mawqūf,Mawquuf,/mawquːf/,extended
Weitere Begriffe,Mawquf,Mawquf,Mawquuf,/mawquːf/,extended
Weitere Begriffe,mawqūf,mawqūf,Mawquuf,/mawquːf/,extended
Weitere Begriffe,mawquf,mawquf,Mawquuf,/mawquːf/,extended
Ḥadīṯ-Wissenschaften,Maqṭūʿ,Maqṭūʿ,Maqtuu-,/maqtˤuːʕ/,extended
Weitere Begriffe,Maqtu',Maqtu',Maqtuu-,/maqtˤuːʕ/,extended
Weitere Begriffe,Maqtu,Maqtu,Maqtuu-,/maqtˤuːʕ/,extended
Weitere Begriffe,maqṭūʿ,maqṭūʿ,Maqtuu-,/maqtˤuːʕ/,extended
Weitere Begriffe,maqtu',maqtu',Maqtuu-,/maqtˤuːʕ/,extended
Weitere Begriffe,maqtu,maqtu,Maqtuu-,/maqtˤuːʕ/,extended
Ḥadīṯ-Wissenschaften,Mutawātir,Mutawātir,Mutawaatir,/mutawaːtir/,extended
Weitere Begriffe,Mutawatir,Mutawatir,Mutawaatir,/mutawaːtir/,extended
Weitere Begriffe,mutawātir,mutawātir,Mutawaatir,/mutawaːtir/,extended
Weitere Begriffe,mutawatir,mutawatir,Mutawaatir,/mutawaːtir/,extended
Ḥadīṯ-Wissenschaften,Āḥād,Āḥād,Aahaad,/aːħaːd/,extended
Weitere Begriffe,Ahad,Ahad,Aahaad,/aːħaːd/,extended
Weitere Begriffe,āḥād,āḥād,Aahaad,/aːħaːd/,extended
Weitere Begriffe,ahad,ahad,Aahaad,/aːħaːd/,extended
Ḥadīṯ-Wissenschaften,Ġarīb,Ġarīb,Ghariib,/ɣariːb/,extended
Weitere Begriffe,Gharib,Gharib,Ghariib,/ɣariːb/,extended
Weitere Begriffe,ġarīb,ġarīb,Ghariib,/ɣariːb/,extended
Weitere Begriffe,gharib,gharib,Ghariib,/ɣariːb/,extended
Ḥadīṯ-Wissenschaften,ʿAzīz,ʿAzīz,-Aziiz,/ʕaziːz/,extended
Weitere Begriffe,'Aziz,'Aziz,-Aziiz,/ʕaziːz/,extended
Weitere Begriffe,Aziz,Aziz,-Aziiz,/ʕaziːz/,extended
Weitere Begriffe,ʿazīz,ʿazīz,-Aziiz,/ʕaziːz/,extended
Weitere Begriffe,'aziz,'aziz,-Aziiz,/ʕaziːz/,extended
Weitere Begriffe,aziz,aziz,-Aziiz,/ʕaziːz/,extended
Ḥadīṯ-Wissenschaften,Mašhūr,Mašhūr,Maschhuur,/maʃhuːr/,extended
Weitere Begriffe,Mashhur,Mashhur,Maschhuur,/maʃhuːr/,extended
Weitere Begriffe,mašhūr,mašhūr,Maschhuur,/maʃhuːr/,extended
Weitere Begriffe,mashhur,mashhur,Maschhuur,/maʃhuːr/,extended
Ḥadīṯ-Wissenschaften,Mudallas,Mudallas,Mudallas,/mudallas/,extended
Weitere Begriffe,mudallas,mudallas,Mudallas,/mudallas/,extended
Ḥadīṯ-Wissenschaften,Tadlīs,Tadlīs,Tadliis,/tadliːs/,extended
Weitere Begriffe,Tadlis,Tadlis,Tadliis,/tadliːs/,extended
Weitere Begriffe,tadlīs,tadlīs,Tadliis,/tadliːs/,extended
Weitere Begriffe,tadlis,tadlis,Tadliis,/tadliːs/,extended
Ḥadīṯ-Wissenschaften,Šāḏḏ,Šāḏḏ,Schaadhdh,/ʃaːðð/,extended
Weitere Begriffe,Shadhdh,Shadhdh,Schaadhdh,/ʃaːðð/,extended
Weitere Begriffe,šāḏḏ,šāḏḏ,Schaadhdh,/ʃaːðð/,extended
Weitere Begriffe,shadhdh,shadhdh,Schaadhdh,/ʃaːðð/,extended
Ḥadīṯ-Wissenschaften,Munkar,Munkar,Munkar,/munkar/,extended
Weitere Begriffe,munkar,munkar,Munkar,/munkar/,extended
Ḥadīṯ-Wissenschaften,Maʿlūl,Maʿlūl,Ma-luul,/maʕluːl/,extended
Weitere Begriffe,Ma'lul,Ma'lul,Ma-luul,/maʕluːl/,extended
Weitere Begriffe,Malul,Malul,Ma-luul,/maʕluːl/,extended
Weitere Begriffe,maʿlūl,maʿlūl,Ma-luul,/maʕluːl/,extended
Weitere Begriffe,ma'lul,ma'lul,Ma-luul,/maʕluːl/,extended
Weitere Begriffe,malul,malul,Ma-luul,/maʕluːl/,extended
Ḥadīṯ-Wissenschaften,ʿIlal,ʿIlal,-Ilal,/ʕilal/,extended
Weitere Begriffe,'Ilal,'Ilal,-Ilal,/ʕilal/,extended
Weitere Begriffe,Ilal,Ilal,-Ilal,/ʕilal/,extended
Weitere Begriffe,ʿilal,ʿilal,-Ilal,/ʕilal/,extended
Weitere Begriffe,'ilal,'ilal,-Ilal,/ʕilal/,extended
Weitere Begriffe,ilal,ilal,-Ilal,/ʕilal/,extended
Ḥadīṯ-Wissenschaften,Ǧarḥ wa-taʿdīl,Ǧarḥ wa-taʿdīl,Dscharh wa-ta-diil,/d͡ʒarħ wa.taʕdiːl/,extended
Weitere Begriffe,Jarh wa-ta'dil,Jarh wa-ta'dil,Dscharh wa-ta-diil,/d͡ʒarħ wa.taʕdiːl/,extended
Weitere Begriffe,Jarh wa-tadil,Jarh wa-tadil,Dscharh wa-ta-diil,/d͡ʒarħ wa.taʕdiːl/,extended
Weitere Begriffe,ǧarḥ wa-taʿdīl,ǧarḥ wa-taʿdīl,Dscharh wa-ta-diil,/d͡ʒarħ wa.taʕdiːl/,extended
Weitere Begriffe,jarh wa-ta'dil,jarh wa-ta'dil,Dscharh wa-ta-diil,/d͡ʒarħ wa.taʕdiːl/,extended
Weitere Begriffe,jarh wa-tadil,jarh wa-tadil,Dscharh wa-ta-diil,/d͡ʒarħ wa.taʕdiːl/,extended
Ḥadīṯ-Wissenschaften,Ṯiqah,Ṯiqah,Thiqah,/θiqah/,extended
Weitere Begriffe,Thiqah,Thiqah,Thiqah,/θiqah/,extended
Weitere Begriffe,ṯiqah,ṯiqah,Thiqah,/θiqah/,extended
Weitere Begriffe,thiqah,thiqah,Thiqah,/θiqah/,extended
Ḥadīṯ-Wissenschaften,Ṣadūq,Ṣadūq,Saduuq,/sˤaduːq/,extended
Weitere Begriffe,Saduq,Saduq,Saduuq,/sˤaduːq/,extended
Weitere Begriffe,ṣadūq,ṣadūq,Saduuq,/sˤaduːq/,extended
Weitere Begriffe,saduq,saduq,Saduuq,/sˤaduːq/,extended
Ḥadīṯ-Wissenschaften,Ḍabṭ,Ḍabṭ,Dabt,/dˤabtˤ/,extended
Weitere Begriffe,Dabt,Dabt,Dabt,/dˤabtˤ/,extended
Weitere Begriffe,ḍabṭ,ḍabṭ,Dabt,/dˤabtˤ/,extended
Weitere Begriffe,dabt,dabt,Dabt,/dˤabtˤ/,extended
Ḥadīṯ-Wissenschaften,ʿAdālah,ʿAdālah,-Adaalah,/ʕadaːlah/,extended
Weitere Begriffe,'Adalah,'Adalah,-Adaalah,/ʕadaːlah/,extended
Weitere Begriffe,Adalah,Adalah,-Adaalah,/ʕadaːlah/,extended
Weitere Begriffe,ʿadālah,ʿadālah,-Adaalah,/ʕadaːlah/,extended
Weitere Begriffe,'adalah,'adalah,-Adaalah,/ʕadaːlah/,extended
Weitere Begriffe,adalah,adalah,-Adaalah,/ʕadaːlah/,extended
Ḥadīṯ-Wissenschaften,Takhrīǧ,Takhrīǧ,Takhriidsch,/taxriːd͡ʒ/,extended
Weitere Begriffe,Takhrij,Takhrij,Takhriidsch,/taxriːd͡ʒ/,extended
Weitere Begriffe,takhrīǧ,takhrīǧ,Takhriidsch,/taxriːd͡ʒ/,extended
Weitere Begriffe,takhrij,takhrij,Takhriidsch,/taxriːd͡ʒ/,extended
Ḥadīṯ-Wissenschaften,Muṣṭalaḥ al-Ḥadīṯ,Muṣṭalaḥ al-Ḥadīṯ,Mustalah al-Hadiith,/musˤtˤalaħ al.ħadiːθ/,extended
Weitere Begriffe,Mustalah al-Hadith,Mustalah al-Hadith,Mustalah al-Hadiith,/musˤtˤalaħ al.ħadiːθ/,extended
Weitere Begriffe,muṣṭalaḥ al-ḥadīṯ,muṣṭalaḥ al-ḥadīṯ,Mustalah al-Hadiith,/musˤtˤalaħ al.ħadiːθ/,extended
Weitere Begriffe,mustalah al-hadith,mustalah al-hadith,Mustalah al-Hadiith,/musˤtˤalaħ al.ħadiːθ/,extended
Ḥadīṯ-Wissenschaften,Musnad,Musnad,Musnad,/musnad/,extended
Weitere Begriffe,musnad,musnad,Musnad,/musnad/,extended
Ḥadīṯ-Wissenschaften,Sunan,Sunan,Sunan,/sunan/,extended
Weitere Begriffe,sunan,sunan,Sunan,/sunan/,extended
Ḥadīṯ-Wissenschaften,Ǧāmiʿ,Ǧāmiʿ,Dschaami-,/d͡ʒaːmiʕ/,extended
Weitere Begriffe,Jami',Jami',Dschaami-,/d͡ʒaːmiʕ/,extended
Weitere Begriffe,Jami,Jami,Dschaami-,/d͡ʒaːmiʕ/,extended
Weitere Begriffe,ǧāmiʿ,ǧāmiʿ,Dschaami-,/d͡ʒaːmiʕ/,extended
Weitere Begriffe,jami',jami',Dschaami-,/d͡ʒaːmiʕ/,extended
Weitere Begriffe,jami,jami,Dschaami-,/d͡ʒaːmiʕ/,extended
Ḥadīṯ-Wissenschaften,Muṣannaf,Muṣannaf,Musannaf,/musˤannaf/,extended
Weitere Begriffe,Musannaf,Musannaf,Musannaf,/musˤannaf/,extended
Weitere Begriffe,muṣannaf,muṣannaf,Musannaf,/musˤannaf/,extended
Weitere Begriffe,musannaf,musannaf,Musannaf,/musˤannaf/,extended
Ḥadīṯ-Wissenschaften,Muʿǧam,Muʿǧam,Mu-dscham,/muʕd͡ʒam/,extended
Weitere Begriffe,Mu'jam,Mu'jam,Mu-dscham,/muʕd͡ʒam/,extended
Weitere Begriffe,Mujam,Mujam,Mu-dscham,/muʕd͡ʒam/,extended
Weitere Begriffe,muʿǧam,muʿǧam,Mu-dscham,/muʕd͡ʒam/,extended
Weitere Begriffe,mu'jam,mu'jam,Mu-dscham,/muʕd͡ʒam/,extended
Weitere Begriffe,mujam,mujam,Mu-dscham,/muʕd͡ʒam/,extended
Ḥadīṯ-Wissenschaften,Mustadrak,Mustadrak,Mustadrak,/mustadrak/,extended
Weitere Begriffe,mustadrak,mustadrak,Mustadrak,/mustadrak/,extended
Ḥadīṯ-Wissenschaften,Silsilah,Silsilah,Silsilah,/silsilah/,extended
Weitere Begriffe,silsilah,silsilah,Silsilah,/silsilah/,extended
Propheten & Qurʾānische Personen,Ādam,Ādam,Aadam,/aːdam/,core
Weitere Begriffe,Adam,Adam,Aadam,/aːdam/,extended
Weitere Begriffe,ādam,ādam,Aadam,/aːdam/,extended
Weitere Begriffe,adam,adam,Aadam,/aːdam/,extended
Propheten & Qurʾānische Personen,Idrīs,Idrīs,Idriis,/idriːs/,core
Weitere Begriffe,Idris,Idris,Idriis,/idriːs/,extended
Weitere Begriffe,idrīs,idrīs,Idriis,/idriːs/,extended
Weitere Begriffe,idris,idris,Idriis,/idriːs/,extended
Propheten & Qurʾānische Personen,Ṣāliḥ,Ṣāliḥ,Saalih,/sˤaːliħ/,core
Weitere Begriffe,Salih,Salih,Saalih,/sˤaːliħ/,extended
Weitere Begriffe,ṣāliḥ,ṣāliḥ,Saalih,/sˤaːliħ/,extended
Weitere Begriffe,salih,salih,Saalih,/sˤaːliħ/,extended
Propheten & Qurʾānische Personen,Lūṭ,Lūṭ,Luut,/luːtˤ/,core
Weitere Begriffe,Lut,Lut,Luut,/luːtˤ/,extended
Weitere Begriffe,lūṭ,lūṭ,Luut,/luːtˤ/,extended
Weitere Begriffe,lut,lut,Luut,/luːtˤ/,extended
Propheten & Qurʾānische Personen,Ismāʿīl,Ismāʿīl,Ismaa-iil,/ʔis.maːˈʕiːl/,core
Weitere Begriffe,Isma'il,Isma'il,Ismaa-iil,/ʔis.maːˈʕiːl/,extended
Weitere Begriffe,Ismail,Ismail,Ismaa-iil,/ʔis.maːˈʕiːl/,extended
Weitere Begriffe,ismāʿīl,ismāʿīl,Ismaa-iil,/ʔis.maːˈʕiːl/,extended
Weitere Begriffe,isma'il,isma'il,Ismaa-iil,/ʔis.maːˈʕiːl/,extended
Weitere Begriffe,ismail,ismail,Ismaa-iil,/ʔis.maːˈʕiːl/,extended
Propheten & Qurʾānische Personen,Isḥāq,Isḥāq,Ishaaq,/ʔisˈħaːq/,core
Weitere Begriffe,Ishaq,Ishaq,Ishaaq,/ʔisˈħaːq/,extended
Weitere Begriffe,isḥāq,isḥāq,Ishaaq,/ʔisˈħaːq/,extended
Weitere Begriffe,ishaq,ishaq,Ishaaq,/ʔisˈħaːq/,extended
Propheten & Qurʾānische Personen,Yaʿqūb,Yaʿqūb,Ya-quub,/jaʕˈquːb/,core
Weitere Begriffe,Ya'qub,Ya'qub,Ya-quub,/jaʕˈquːb/,extended
Weitere Begriffe,Yaqub,Yaqub,Ya-quub,/jaʕˈquːb/,extended
Weitere Begriffe,yaʿqūb,yaʿqūb,Ya-quub,/jaʕˈquːb/,extended
Weitere Begriffe,ya'qub,ya'qub,Ya-quub,/jaʕˈquːb/,extended
Weitere Begriffe,yaqub,yaqub,Ya-quub,/jaʕˈquːb/,extended
Propheten & Qurʾānische Personen,Ayyūb,Ayyūb,Ayyuub,/ajjuːb/,core
Weitere Begriffe,Ayyub,Ayyub,Ayyuub,/ajjuːb/,extended
Weitere Begriffe,ayyūb,ayyūb,Ayyuub,/ajjuːb/,extended
Weitere Begriffe,ayyub,ayyub,Ayyuub,/ajjuːb/,extended
Propheten & Qurʾānische Personen,Šuʿayb,Šuʿayb,Schu-ayb,/ʃuʕajb/,core
Weitere Begriffe,Shu'ayb,Shu'ayb,Schu-ayb,/ʃuʕajb/,extended
Weitere Begriffe,Shuayb,Shuayb,Schu-ayb,/ʃuʕajb/,extended
Weitere Begriffe,šuʿayb,šuʿayb,Schu-ayb,/ʃuʕajb/,extended
Weitere Begriffe,shu'ayb,shu'ayb,Schu-ayb,/ʃuʕajb/,extended
Weitere Begriffe,shuayb,shuayb,Schu-ayb,/ʃuʕajb/,extended
Propheten & Qurʾānische Personen,Mūsā,Mūsā,Muusaa,/ˈmuːsaː/,core
Weitere Begriffe,Musa,Musa,Muusaa,/ˈmuːsaː/,extended
Weitere Begriffe,mūsā,mūsā,Muusaa,/ˈmuːsaː/,extended
Weitere Begriffe,musa,musa,Muusaa,/ˈmuːsaː/,extended
Propheten & Qurʾānische Personen,Hārūn,Hārūn,Haaruun,/haːˈruːn/,core
Weitere Begriffe,Harun,Harun,Haaruun,/haːˈruːn/,extended
Weitere Begriffe,hārūn,hārūn,Haaruun,/haːˈruːn/,extended
Weitere Begriffe,harun,harun,Haaruun,/haːˈruːn/,extended
Propheten & Qurʾānische Personen,Ḏū l-Kifl,Ḏū l-Kifl,Dhuu l-Kifl,/ðuː l.kifl/,core
Weitere Begriffe,Dhu l-Kifl,Dhu l-Kifl,Dhuu l-Kifl,/ðuː l.kifl/,extended
Weitere Begriffe,ḏū l-kifl,ḏū l-kifl,Dhuu l-Kifl,/ðuː l.kifl/,extended
Weitere Begriffe,dhu l-kifl,dhu l-kifl,Dhuu l-Kifl,/ðuː l.kifl/,extended
Propheten & Qurʾānische Personen,Dāwūd,Dāwūd,Daawuud,/daːwuːd/,core
Weitere Begriffe,Dawud,Dawud,Daawuud,/daːwuːd/,extended
Weitere Begriffe,dāwūd,dāwūd,Daawuud,/daːwuːd/,extended
Weitere Begriffe,dawud,dawud,Daawuud,/daːwuːd/,extended
Propheten & Qurʾānische Personen,Sulaymān,Sulaymān,Sulaymaan,/sulajmaːn/,core
Weitere Begriffe,Sulayman,Sulayman,Sulaymaan,/sulajmaːn/,extended
Weitere Begriffe,sulaymān,sulaymān,Sulaymaan,/sulajmaːn/,extended
Weitere Begriffe,sulayman,sulayman,Sulaymaan,/sulajmaːn/,extended
Propheten & Qurʾānische Personen,Ilyās,Ilyās,Ilyaas,/iljaːs/,core
Weitere Begriffe,Ilyas,Ilyas,Ilyaas,/iljaːs/,extended
Weitere Begriffe,ilyās,ilyās,Ilyaas,/iljaːs/,extended
Weitere Begriffe,ilyas,ilyas,Ilyaas,/iljaːs/,extended
Propheten & Qurʾānische Personen,al-Yasaʿ,al-Yasaʿ,al-Yasa-,/al.jasaʕ/,core
Weitere Begriffe,al-Yasa',al-Yasa',al-Yasa-,/al.jasaʕ/,extended
Weitere Begriffe,al-Yasa,al-Yasa,al-Yasa-,/al.jasaʕ/,extended
Weitere Begriffe,al-yasaʿ,al-yasaʿ,al-Yasa-,/al.jasaʕ/,extended
Weitere Begriffe,al-yasa',al-yasa',al-Yasa-,/al.jasaʕ/,extended
Weitere Begriffe,al-yasa,al-yasa,al-Yasa-,/al.jasaʕ/,extended
Propheten & Qurʾānische Personen,Zakariyyā,Zakariyyā,Zakariyyaa,/zakarijjaː/,core
Weitere Begriffe,Zakariyya,Zakariyya,Zakariyyaa,/zakarijjaː/,extended
Weitere Begriffe,zakariyyā,zakariyyā,Zakariyyaa,/zakarijjaː/,extended
Weitere Begriffe,zakariyya,zakariyya,Zakariyyaa,/zakarijjaː/,extended
Propheten & Qurʾānische Personen,Yaḥyā,Yaḥyā,Yahyaa,/jaħjaː/,core
Weitere Begriffe,Yahya,Yahya,Yahyaa,/jaħjaː/,extended
Weitere Begriffe,yaḥyā,yaḥyā,Yahyaa,/jaħjaː/,extended
Weitere Begriffe,yahya,yahya,Yahyaa,/jaħjaː/,extended
Propheten & Qurʾānische Personen,ʿĪsā,ʿĪsā,Iisaa,/ˈʕiːsaː/,core
Weitere Begriffe,'Isa,'Isa,Iisaa,/ˈʕiːsaː/,extended
Weitere Begriffe,Isa,Isa,Iisaa,/ˈʕiːsaː/,extended
Weitere Begriffe,ʿīsā,ʿīsā,Iisaa,/ˈʕiːsaː/,extended
Weitere Begriffe,'isa,'isa,Iisaa,/ˈʕiːsaː/,extended
Weitere Begriffe,isa,isa,Iisaa,/ˈʕiːsaː/,extended
Propheten & Qurʾānische Personen,Aḥmad,Aḥmad,Ahmad,/aħmad/,core
Weitere Begriffe,Ahmad,Ahmad,Ahmad,/aħmad/,extended
Weitere Begriffe,aḥmad,aḥmad,Ahmad,/aħmad/,extended
Weitere Begriffe,ahmad,ahmad,Ahmad,/aħmad/,extended
Propheten & Qurʾānische Personen,Ḏū l-Qarnayn,Ḏū l-Qarnayn,Dhuu l-Qarnayn,/ðuː l.qarnajn/,core
Weitere Begriffe,Dhu l-Qarnayn,Dhu l-Qarnayn,Dhuu l-Qarnayn,/ðuː l.qarnajn/,extended
Weitere Begriffe,ḏū l-qarnayn,ḏū l-qarnayn,Dhuu l-Qarnayn,/ðuː l.qarnajn/,extended
Weitere Begriffe,dhu l-qarnayn,dhu l-qarnayn,Dhuu l-Qarnayn,/ðuː l.qarnajn/,extended
Propheten & Qurʾānische Personen,al-Khiḍr,al-Khiḍr,al-Chidr,/alˈxidˤr/,core
Weitere Begriffe,al-Khidr,al-Khidr,al-Chidr,/alˈxidˤr/,extended
Weitere Begriffe,al-khiḍr,al-khiḍr,al-Chidr,/alˈxidˤr/,extended
Weitere Begriffe,al-khidr,al-khidr,al-Chidr,/alˈxidˤr/,extended
Propheten & Qurʾānische Personen,Firʿawn,Firʿawn,Fir-aun,/firˈʕawn/,core
Weitere Begriffe,Fir'awn,Fir'awn,Fir-aun,/firˈʕawn/,extended
Weitere Begriffe,Firawn,Firawn,Fir-aun,/firˈʕawn/,extended
Weitere Begriffe,firʿawn,firʿawn,Fir-aun,/firˈʕawn/,extended
Weitere Begriffe,fir'awn,fir'awn,Fir-aun,/firˈʕawn/,extended
Weitere Begriffe,firawn,firawn,Fir-aun,/firˈʕawn/,extended
Propheten & Qurʾānische Personen,Qārūn,Qārūn,Qaaruun,/qaːruːn/,core
Weitere Begriffe,Qarun,Qarun,Qaaruun,/qaːruːn/,extended
Weitere Begriffe,qārūn,qārūn,Qaaruun,/qaːruːn/,extended
Weitere Begriffe,qarun,qarun,Qaaruun,/qaːruːn/,extended
Propheten & Qurʾānische Personen,Hāmān,Hāmān,Haamaan,/haːmaːn/,core
Weitere Begriffe,Haman,Haman,Haamaan,/haːmaːn/,extended
Weitere Begriffe,hāmān,hāmān,Haamaan,/haːmaːn/,extended
Weitere Begriffe,haman,haman,Haamaan,/haːmaːn/,extended
Propheten & Qurʾānische Personen,Āzar,Āzar,Aazar,/aːzar/,core
Weitere Begriffe,Azar,Azar,Aazar,/aːzar/,extended
Weitere Begriffe,āzar,āzar,Aazar,/aːzar/,extended
Weitere Begriffe,azar,azar,Aazar,/aːzar/,extended
Propheten & Qurʾānische Personen,Ṭālūt,Ṭālūt,Taaluut,/tˤaːluːt/,core
Weitere Begriffe,Talut,Talut,Taaluut,/tˤaːluːt/,extended
Weitere Begriffe,ṭālūt,ṭālūt,Taaluut,/tˤaːluːt/,extended
Weitere Begriffe,talut,talut,Taaluut,/tˤaːluːt/,extended
Propheten & Qurʾānische Personen,Ǧālūt,Ǧālūt,Dschaaluut,/d͡ʒaːluːt/,core
Weitere Begriffe,Jalut,Jalut,Dschaaluut,/d͡ʒaːluːt/,extended
Weitere Begriffe,ǧālūt,ǧālūt,Dschaaluut,/d͡ʒaːluːt/,extended
Weitere Begriffe,jalut,jalut,Dschaaluut,/d͡ʒaːluːt/,extended
Propheten & Qurʾānische Personen,Banū Isrāʾīl,Banū Isrāʾīl,Banuu Israa-iil,/banuː israːʔiːl/,core
Weitere Begriffe,Banu Isra'il,Banu Isra'il,Banuu Israa-iil,/banuː israːʔiːl/,extended
Weitere Begriffe,Banu Israil,Banu Israil,Banuu Israa-iil,/banuː israːʔiːl/,extended
Weitere Begriffe,banū isrāʾīl,banū isrāʾīl,Banuu Israa-iil,/banuː israːʔiːl/,extended
Weitere Begriffe,banu isra'il,banu isra'il,Banuu Israa-iil,/banuː israːʔiːl/,extended
Weitere Begriffe,banu israil,banu israil,Banuu Israa-iil,/banuː israːʔiːl/,extended
Propheten & Qurʾānische Personen,Isrāʾīl,Isrāʾīl,Israa-iil,/israːʔiːl/,core
Weitere Begriffe,Isra'il,Isra'il,Israa-iil,/israːʔiːl/,extended
Weitere Begriffe,Israil,Israil,Israa-iil,/israːʔiːl/,extended
Weitere Begriffe,isrāʾīl,isrāʾīl,Israa-iil,/israːʔiːl/,extended
Weitere Begriffe,isra'il,isra'il,Israa-iil,/israːʔiːl/,extended
Weitere Begriffe,israil,israil,Israa-iil,/israːʔiːl/,extended
Propheten & Qurʾānische Personen,Madyan,Madyan,Madyan,/madjan/,core
Weitere Begriffe,madyan,madyan,Madyan,/madjan/,extended
Propheten & Qurʾānische Personen,ʿĀd,ʿĀd,-Aad,/ʕaːd/,core
Weitere Begriffe,'Ad,'Ad,-Aad,/ʕaːd/,extended
Weitere Begriffe,Ad,Ad,-Aad,/ʕaːd/,extended
Weitere Begriffe,ʿād,ʿād,-Aad,/ʕaːd/,extended
Weitere Begriffe,'ad,'ad,-Aad,/ʕaːd/,extended
Weitere Begriffe,ad,ad,-Aad,/ʕaːd/,extended
Propheten & Qurʾānische Personen,Ṯamūd,Ṯamūd,Thamuud,/θamuːd/,core
Weitere Begriffe,Thamud,Thamud,Thamuud,/θamuːd/,extended
Weitere Begriffe,ṯamūd,ṯamūd,Thamuud,/θamuːd/,extended
Weitere Begriffe,thamud,thamud,Thamuud,/θamuːd/,extended
"Engel, Jenseits & Glaubenswelt",Malāʾikah,Malāʾikah,Malaa-ikah,/malaːʔikah/,extended
Weitere Begriffe,Mala'ikah,Mala'ikah,Malaa-ikah,/malaːʔikah/,extended
Weitere Begriffe,Malaikah,Malaikah,Malaa-ikah,/malaːʔikah/,extended
Weitere Begriffe,malāʾikah,malāʾikah,Malaa-ikah,/malaːʔikah/,extended
Weitere Begriffe,mala'ikah,mala'ikah,Malaa-ikah,/malaːʔikah/,extended
Weitere Begriffe,malaikah,malaikah,Malaa-ikah,/malaːʔikah/,extended
"Engel, Jenseits & Glaubenswelt",Malak,Malak,Malak,/malak/,extended
Weitere Begriffe,malak,malak,Malak,/malak/,extended
"Engel, Jenseits & Glaubenswelt",Ǧibrīl,Ǧibrīl,Dschibriil,/d͡ʒibriːl/,extended
Weitere Begriffe,Jibril,Jibril,Dschibriil,/d͡ʒibriːl/,extended
Weitere Begriffe,ǧibrīl,ǧibrīl,Dschibriil,/d͡ʒibriːl/,extended
Weitere Begriffe,jibril,jibril,Dschibriil,/d͡ʒibriːl/,extended
"Engel, Jenseits & Glaubenswelt",Mīkāʾīl,Mīkāʾīl,Miikaa-iil,/miːkaːʔiːl/,extended
Weitere Begriffe,Mika'il,Mika'il,Miikaa-iil,/miːkaːʔiːl/,extended
Weitere Begriffe,Mikail,Mikail,Miikaa-iil,/miːkaːʔiːl/,extended
Weitere Begriffe,mīkāʾīl,mīkāʾīl,Miikaa-iil,/miːkaːʔiːl/,extended
