category,input,alias,ipa,priority
Ḥadīṯ-Wissenschaften,Ǧarḥ wa-taʿdīl,Dscharh wa-ta-diil,d͡ʒarħ wa.taʕdiːl,extended
Ḥadīṯ-Wissenschaften,Ṯiqah,Thiqah,θiqah,extended
Ḥadīṯ-Wissenschaften,Ṣadūq,Saduuq,sˤaduːq,extended
Ḥadīṯ-Wissenschaften,Ḍabṭ,Dabt,dˤabtˤ,extended
Ḥadīṯ-Wissenschaften,ʿAdālah,-Adaalah,ʕadaːlah,extended
Ḥadīṯ-Wissenschaften,Takhrīǧ,Takhriidsch,taxriːd͡ʒ,extended
Ḥadīṯ-Wissenschaften,Muṣṭalaḥ al-Ḥadīṯ,Mustalah al-Hadiith,musˤtˤalaħ al.ħadiːθ,extended
Ḥadīṯ-Wissenschaften,Musnad,Musnad,musnad,extended
Ḥadīṯ-Wissenschaften,Sunan,Sunan,sunan,extended
Ḥadīṯ-Wissenschaften,Ǧāmiʿ,Dschaami-,d͡ʒaːmiʕ,extended
Ḥadīṯ-Wissenschaften,Muṣannaf,Musannaf,musˤannaf,extended
Ḥadīṯ-Wissenschaften,Muʿǧam,Mu-dscham,muʕd͡ʒam,extended
Ḥadīṯ-Wissenschaften,Mustadrak,Mustadrak,mustadrak,extended
Ḥadīṯ-Wissenschaften,Silsilah,Silsilah,silsilah,extended
Propheten & Qurʾānische Personen,Ādam,Aadam,aːdam,core
Propheten & Qurʾānische Personen,Idrīs,Idriis,idriːs,core
Propheten & Qurʾānische Personen,Ṣāliḥ,Saalih,sˤaːliħ,core
Propheten & Qurʾānische Personen,Lūṭ,Luut,luːtˤ,core
Propheten & Qurʾānische Personen,Ismāʿīl,Ismaa-iil,ʔis.maːˈʕiːl,core
Propheten & Qurʾānische Personen,Isḥāq,Ishaaq,ʔisˈħaːq,core
Propheten & Qurʾānische Personen,Yaʿqūb,Ya-quub,jaʕˈquːb,core
Propheten & Qurʾānische Personen,Ayyūb,Ayyuub,ajjuːb,core
Propheten & Qurʾānische Personen,Šuʿayb,Schu-ayb,ʃuʕajb,core
Propheten & Qurʾānische Personen,Mūsā,Muusaa,ˈmuːsaː,core
Propheten & Qurʾānische Personen,Hārūn,Haaruun,haːˈruːn,core
Propheten & Qurʾānische Personen,Ḏū l-Kifl,Dhuu l-Kifl,ðuː l.kifl,core
Propheten & Qurʾānische Personen,Dāwūd,Daawuud,daːwuːd,core
Propheten & Qurʾānische Personen,Sulaymān,Sulaymaan,sulajmaːn,core
Propheten & Qurʾānische Personen,Ilyās,Ilyaas,iljaːs,core
Propheten & Qurʾānische Personen,al-Yasaʿ,al-Yasa-,al.jasaʕ,core
Propheten & Qurʾānische Personen,Zakariyyā,Zakariyyaa,zakarijjaː,core
Propheten & Qurʾānische Personen,Yaḥyā,Yahyaa,jaħjaː,core
Propheten & Qurʾānische Personen,ʿĪsā,Iisaa,ˈʕiːsaː,core
Propheten & Qurʾānische Personen,Aḥmad,Ahmad,aħmad,core
Propheten & Qurʾānische Personen,Ḏū l-Qarnayn,Dhuu l-Qarnayn,ðuː l.qarnajn,core
Propheten & Qurʾānische Personen,al-Khiḍr,al-Chidr,alˈxidˤr,core
Propheten & Qurʾānische Personen,Firʿawn,Fir-aun,firˈʕawn,core
Propheten & Qurʾānische Personen,Qārūn,Qaaruun,qaːruːn,core
Propheten & Qurʾānische Personen,Hāmān,Haamaan,haːmaːn,core
Propheten & Qurʾānische Personen,Āzar,Aazar,aːzar,core
Propheten & Qurʾānische Personen,Ṭālūt,Taaluut,tˤaːluːt,core
Propheten & Qurʾānische Personen,Ǧālūt,Dschaaluut,d͡ʒaːluːt,core
Propheten & Qurʾānische Personen,Banū Isrāʾīl,Banuu Israa-iil,banuː israːʔiːl,core
Propheten & Qurʾānische Personen,Isrāʾīl,Israa-iil,israːʔiːl,core
Propheten & Qurʾānische Personen,Madyan,Madyan,madjan,core
Propheten & Qurʾānische Personen,ʿĀd,-Aad,ʕaːd,core
Propheten & Qurʾānische Personen,Ṯamūd,Thamuud,θamuːd,core
"Engel, Jenseits & Glaubenswelt",Malāʾikah,Malaa-ikah,malaːʔikah,extended
"Engel, Jenseits & Glaubenswelt",Malak,Malak,malak,extended
"Engel, Jenseits & Glaubenswelt",Ǧibrīl,Dschibriil,d͡ʒibriːl,extended
"Engel, Jenseits & Glaubenswelt",Mīkāʾīl,Miikaa-iil,miːkaːʔiːl,extended
"Engel, Jenseits & Glaubenswelt",Isrāfīl,Israafiil,israːfiːl,extended
"Engel, Jenseits & Glaubenswelt",Mālik,Maalik,maːlik,extended
"Engel, Jenseits & Glaubenswelt",Nakīr,Nakiir,nakiːr,extended
"Engel, Jenseits & Glaubenswelt",Ǧinn,Dschinn,d͡ʒinn,extended
"Engel, Jenseits & Glaubenswelt",Šayṭān,Schaitaan,ʃajtˤaːn,extended
"Engel, Jenseits & Glaubenswelt",Šayāṭīn,Schayaatiin,ʃajaːtˤiːn,extended
"Engel, Jenseits & Glaubenswelt",Iblīs,Ibliis,ibliːs,extended
"Engel, Jenseits & Glaubenswelt",Dajjāl,Dajjaal,dajjaːl,extended
"Engel, Jenseits & Glaubenswelt",al-Masīḥ ad-Dajjāl,al-Masiih ad-Dajjaal,al.masiːħ ad.dajjaːl,extended
"Engel, Jenseits & Glaubenswelt",Mahdī,Mahdii,mahdiː,extended
"Engel, Jenseits & Glaubenswelt",al-Mahdī,al-Mahdii,al.mahdiː,extended
"Engel, Jenseits & Glaubenswelt",Ākhirah,Aakhirah,aːxirah,extended
"Engel, Jenseits & Glaubenswelt",Yawm al-Qiyāmah,Yawm al-Qiyaamah,jawm al.qijaːmah,extended
"Engel, Jenseits & Glaubenswelt",Qiyāmah,Qiyaamah,qijaːmah,extended
"Engel, Jenseits & Glaubenswelt",Baʿṯ,Ba-th,baʕθ,extended
"Engel, Jenseits & Glaubenswelt",Nušūr,Nuschuur,nuʃuːr,extended
"Engel, Jenseits & Glaubenswelt",Ḥašr,Haschr,ħaʃr,extended
"Engel, Jenseits & Glaubenswelt",Mīzān,Miizaan,miːzaːn,extended
"Engel, Jenseits & Glaubenswelt",Ṣirāṭ,Siraat,sˤiraːtˤ,extended
"Engel, Jenseits & Glaubenswelt",Ḥawḍ,Hawd,ħawdˤ,extended
"Engel, Jenseits & Glaubenswelt",Šafāʿah,Schafaa-ah,ʃafaːʕah,extended
"Engel, Jenseits & Glaubenswelt",Qabr,Qabr,qabr,extended
"Engel, Jenseits & Glaubenswelt",Qubūr,Qubuur,qubuːr,extended
"Engel, Jenseits & Glaubenswelt",Barzakh,Barzakh,barzax,extended
"Engel, Jenseits & Glaubenswelt",Naʿīm al-qabr,Na-iim al-qabr,naʕiːm al.qabr,extended
"Engel, Jenseits & Glaubenswelt",ʿAḏāb al-qabr,-Adhaab al-qabr,ʕaðaːb al.qabr,extended
"Engel, Jenseits & Glaubenswelt",Ǧannah,Dschannah,d͡ʒannah,extended
"Engel, Jenseits & Glaubenswelt",Firdaws,Firdaws,firdaws,extended
"Engel, Jenseits & Glaubenswelt",Jahannam,Dschahannam,d͡ʒahannam,extended
"Engel, Jenseits & Glaubenswelt",Nār,Naar,naːr,extended
"Engel, Jenseits & Glaubenswelt",ʿArš,-Arsch,ʕarʃ,extended
"Engel, Jenseits & Glaubenswelt",Kursī,Kursii,kursiː,extended
"Engel, Jenseits & Glaubenswelt",Lawḥ al-Maḥfūẓ,Lawh al-Mahfuuz,lawħ al.maħfuːðˤ,extended
"Engel, Jenseits & Glaubenswelt",Qalam,Qalam,qalam,extended
"Engel, Jenseits & Glaubenswelt",Qadar,Qadar,qadar,extended
"Engel, Jenseits & Glaubenswelt",Qaḍāʾ,Qadaa-,qadˤaːʔ,extended
"Engel, Jenseits & Glaubenswelt",Fitrah,Fitrah,fitrah,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Bakr,Abuu Bakr,abuː bakr,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Bakr aṣ-Ṣiddīq,Abuu Bakr as-Siddiiq,abuː bakr asˤ.sˤiddiːq,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUmar,-Umar,ʕumar,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUmar ibn al-Khaṭṭāb,-Umar ibn al-Khattaab,ʕumar ibn al.xatˤtˤaːb,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUṯmān,-Uthmaan,ʕuθmaːn,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUṯmān ibn ʿAffān,-Uthmaan ibn Affaan,ʕuθmaːn ibn ʕaffaːn,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAlī,-Alii,ʕaliː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAlī ibn Abī Ṭālib,-Alii ibn Abii Taalib,ʕaliː ibn abiː tˤaːlib,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ṭalḥah ibn ʿUbaydillāh,Talhah ibn Ubaydillaah,tˤalħah ibn ʕubajdillaːh,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",az-Zubayr ibn al-ʿAwwām,az-Zubayr ibn al-Awwaam,az.zubajr ibn al.ʕawwaːm,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbd ar-Raḥmān ibn ʿAwf,-Abd ar-Rahmaan ibn Awf,ʕabd ar.raħmaːn ibn ʕawf,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Saʿd ibn Abī Waqqāṣ,Sa-d ibn Abii Waqqaas,saʕd ibn abiː waqqaːsˤ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Saʿīd ibn Zayd,Sa-iid ibn Zayd,saʕiːd ibn zajd,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū ʿUbaydah ibn al-Ǧarrāḥ,Abuu Ubaydah ibn al-Dscharraah,abuː ʕubajdah ibn al.d͡ʒarraːħ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥamzah ibn ʿAbd al-Muṭṭalib,Hamzah ibn Abd al-Muttalib,ħamzah ibn ʕabd al.mutˤtˤalib,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",al-ʿAbbās ibn ʿAbd al-Muṭṭalib,al-Abbaas ibn Abd al-Muttalib,al.ʕabbaːs ibn ʕabd al.mutˤtˤalib,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn ʿAbbās,-Abdullaah ibn Abbaas,ʕabdullaːh ibn ʕabbaːs,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ibn ʿAbbās,Ibn Abbaas,ibn ʕabbaːs,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn Masʿūd,-Abdullaah ibn Mas-uud,ʕabdullaːh ibn masʕuːd,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ibn Masʿūd,Ibn Mas-uud,ibn masʕuːd,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn ʿUmar,-Abdullaah ibn Umar,ʕabdullaːh ibn ʕumar,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ibn ʿUmar,Ibn Umar,ibn ʕumar,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn ʿAmr,-Abdullaah ibn Amr,ʕabdullaːh ibn ʕamr,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Hurayrah,Abuu Hurayrah,abuː hurajrah,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Anas ibn Mālik,Anas ibn Maalik,anas ibn maːlik,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ǧābir ibn ʿAbdillāh,Dschaabir ibn Abdillaah,d͡ʒaːbir ibn ʕabdillaːh,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Saʿīd al-Khudrī,Abuu Sa-iid al-Khudrii,abuː saʕiːd al.xudriː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Ḏarr al-Ġifārī,Abuu Dharr al-Ghifaarii,abuː ðarr al.ɣifaːriː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū ad-Dardāʾ,Abuu ad-Dardaa-,abuː ad.dardaːʔ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Muʿāḏ ibn Ǧabal,Mu-aadh ibn Dschabal,muʕaːð ibn d͡ʒabal,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ubayy ibn Kaʿb,Ubayy ibn Ka-b,ubajj ibn kaʕb,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Zayd ibn Ṯābit,Zayd ibn Thaabit,zajd ibn θaːbit,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Bilāl ibn Rabāḥ,Bilaal ibn Rabaah,bilaːl ibn rabaːħ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Salmān al-Fārisī,Salmaan al-Faarisii,salmaːn al.faːrisiː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ṣuhayb ar-Rūmī,Suhayb ar-Ruumii,sˤuhajb ar.ruːmiː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAmmār ibn Yāsir,-Ammaar ibn Yaasir,ʕammaːr ibn jaːsir,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḫabbāb ibn al-Aratt,Chabbaab ibn al-Aratt,xabbaːb ibn al.aratt,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥuḏayfah ibn al-Yamān,Hudhayfah ibn al-Yamaan,ħuðajfah ibn al.jamaːn,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Mūsā al-Ašʿarī,Abuu Muusaa al-Asch-arii,abuː muːsaː al.aʃʕariː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿImrān ibn Ḥuṣayn,-Imraan ibn Husayn,ʕimraːn ibn ħusˤajn,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Samurah ibn Ǧundub,Samurah ibn Dschundub,samurah ibn d͡ʒundub,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",al-Barāʾ ibn ʿĀzib,al-Baraa ibn Aazib,al.baraːʔ ibn ʕaːzib,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Zayd ibn Arqam,Zayd ibn Arqam,zajd ibn arqam,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUqbah ibn ʿĀmir,-Uqbah ibn Aamir,ʕuqbah ibn ʕaːmir,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Ayyūb al-Anṣārī,Abuu Ayyuub al-Ansaarii,abuː ajjuːb al.ansˤaːriː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Khālid ibn al-Walīd,Khaalid ibn al-Waliid,xaːlid ibn al.waliːd,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAmr ibn al-ʿĀṣ,-Amr ibn al-Aas,ʕamr ibn al.ʕaːsˤ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Muʿāwiyah ibn Abī Sufyān,Mu-aawiyah ibn Abii Sufyaan,muʕaːwijah ibn abiː sufjaːn,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥasan ibn ʿAlī,Hasan ibn Alii,ħasan ibn ʕaliː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥusayn ibn ʿAlī,Husayn ibn Alii,ħusajn ibn ʕaliː,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Fāṭimah az-Zahrāʾ,Faatimah az-Zahraa-,faːtˤimah az.zahraːʔ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Khadīǧah bint Khuwaylid,Khadiidschah bint Khuwaylid,xadiːd͡ʒah bint xuwajlid,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿĀʾišah bint Abī Bakr,-Aa-ischah bint Abii Bakr,ʕaːʔiʃah bint abiː bakr,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥafṣah bint ʿUmar,Hafsah bint Umar,ħafsˤah bint ʕumar,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm Salamah,Umm Salamah,umm salamah,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Zaynab bint Ǧaḥš,Zaynab bint Dschahsch,zajnab bint d͡ʒaħʃ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ṣafiyyah bint Ḥuyayy,Safiyyah bint Huyayy,sˤafijjah bint ħujajj,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Maymūnah bint al-Ḥāriṯ,Maymuunah bint al-Haarith,majmuːnah bint al.ħaːriθ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm Ḥabībah,Umm Habiibah,umm ħabiːbah,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ǧuwayriyyah bint al-Ḥāriṯ,Dschuwayriyyah bint al-Haarith,d͡ʒuwajrijjah bint al.ħaːriθ,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Sawdah bint Zamʿah,Sawdah bint Zam-ah,sawdah bint zamʕah,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Māriyah al-Qibṭiyyah,Maariyah al-Qibtiyyah,maːrijah al.qibtˤijjah,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Asmāʾ bint Abī Bakr,Asmaa bint Abii Bakr,asmaːʔ bint abiː bakr,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm Sulaym,Umm Sulaym,umm sulajm,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm ʿAṭiyyah,Umm Atiyyah,umm ʕatˤijjah,extended
"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm ad-Dardāʾ,Umm ad-Dardaa-,umm ad.dardaːʔ,extended
"Tābiʿīn, Salaf & Gelehrte",Saʿīd ibn al-Musayyib,Sa-iid ibn al-Musayyib,saʕiːd ibn al.musajjib,extended
"Tābiʿīn, Salaf & Gelehrte",al-Ḥasan al-Baṣrī,al-Hasan al-Basrii,al.ħasan al.basˤriː,extended
"Tābiʿīn, Salaf & Gelehrte",Muḥammad ibn Sīrīn,Muhammad ibn Siiriin,muħammad ibn siːriːn,extended
"Tābiʿīn, Salaf & Gelehrte",ʿUrwah ibn az-Zubayr,-Urwah ibn az-Zubayr,ʕurwah ibn az.zubajr,extended
"Tābiʿīn, Salaf & Gelehrte",al-Qāsim ibn Muḥammad,al-Qaasim ibn Muhammad,al.qaːsim ibn muħammad,extended
"Tābiʿīn, Salaf & Gelehrte",Sālim ibn ʿAbdillāh,Saalim ibn Abdillaah,saːlim ibn ʕabdillaːh,extended
"Tābiʿīn, Salaf & Gelehrte",Nāfiʿ,Naafi-,naːfiʕ,extended
"Tābiʿīn, Salaf & Gelehrte",Mujāhid ibn Ǧabr,Mujaahid ibn Dschabr,mujaːhid ibn d͡ʒabr,extended
"Tābiʿīn, Salaf & Gelehrte",ʿIkrimah,-Ikrimah,ʕikrimah,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAṭāʾ ibn Abī Rabāḥ,-Ataa ibn Abii Rabaah,ʕatˤaːʔ ibn abiː rabaːħ,extended
"Tābiʿīn, Salaf & Gelehrte",Ṭāwūs ibn Kaysān,Taawuus ibn Kaysaan,tˤaːwuːs ibn kajsaːn,extended
"Tābiʿīn, Salaf & Gelehrte",Qatādah ibn Diʿāmah,Qataadah ibn Di-aamah,qataːdah ibn diʕaːmah,extended
"Tābiʿīn, Salaf & Gelehrte",Masrūq ibn al-Ajdaʿ,Masruuq ibn al-Ajda-,masruːq ibn al.ajdaʕ,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAlqamah ibn Qays,-Alqamah ibn Qays,ʕalqamah ibn qajs,extended
"Tābiʿīn, Salaf & Gelehrte",al-Aswad ibn Yazīd,al-Aswad ibn Yaziid,al.aswad ibn jaziːd,extended
"Tābiʿīn, Salaf & Gelehrte",Ibrāhīm an-Nakhaʿī,Ibraahiim an-Nakha-ii,ibraːhiːm an.naxaʕiː,extended
"Tābiʿīn, Salaf & Gelehrte",ʿĀmir aš-Šaʿbī,-Aamir asch-Scha-bii,ʕaːmir aʃ.ʃaʕbiː,extended
"Tābiʿīn, Salaf & Gelehrte",Saʿīd ibn Ǧubayr,Sa-iid ibn Dschubayr,saʕiːd ibn d͡ʒubajr,extended
"Tābiʿīn, Salaf & Gelehrte",Abū al-ʿĀliyah,Abuu al-Aaliyah,abuː al.ʕaːlijah,extended
"Tābiʿīn, Salaf & Gelehrte",Muḥammad al-Bāqir,Muhammad al-Baaqir,muħammad al.baːqir,extended
"Tābiʿīn, Salaf & Gelehrte",az-Zuhrī,az-Zuhrii,az.zuhriː,extended
"Tābiʿīn, Salaf & Gelehrte",Muḥammad ibn Šihāb az-Zuhrī,Muhammad ibn Schihaab az-Zuhrii,muħammad ibn ʃihaːb az.zuhriː,extended
"Tābiʿīn, Salaf & Gelehrte",Rabīʿah ar-Raʾy,Rabii-ah ar-Ra-y,rabiːʕah ar.raʔj,extended
"Tābiʿīn, Salaf & Gelehrte",Ǧaʿfar aṣ-Ṣādiq,Dscha-far as-Saadiq,d͡ʒaʕfar asˤ.sˤaːdiq,extended
"Tābiʿīn, Salaf & Gelehrte",Abū Ḥanīfah,Abuu Haniifah,abuː ħaniːfah,extended
"Tābiʿīn, Salaf & Gelehrte",Mālik ibn Anas,Maalik ibn Anas,maːlik ibn anas,extended
"Tābiʿīn, Salaf & Gelehrte",al-Awzāʿī,al-Awzaa-ii,al.awzaːʕiː,extended
"Tābiʿīn, Salaf & Gelehrte",Sufyān aṯ-Ṯawrī,Sufyaan ath-Thawrii,sufjaːn aθ.θawriː,extended
"Tābiʿīn, Salaf & Gelehrte",al-Layṯ ibn Saʿd,al-Layth ibn Sa-d,al.lajθ ibn saʕd,extended
"Tābiʿīn, Salaf & Gelehrte",Sufyān ibn ʿUyaynah,Sufyaan ibn Uyaynah,sufjaːn ibn ʕujajnah,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAbdullāh ibn al-Mubārak,-Abdullaah ibn al-Mubaarak,ʕabdullaːh ibn al.mubaːrak,extended
"Tābiʿīn, Salaf & Gelehrte",Wakīʿ ibn al-Ǧarrāḥ,Wakii ibn al-Dscharraah,wakiːʕ ibn al.d͡ʒarraːħ,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAbd ar-Raḥmān ibn Mahdī,-Abd ar-Rahmaan ibn Mahdii,ʕabd ar.raħmaːn ibn mahdiː,extended
"Tābiʿīn, Salaf & Gelehrte",Yaḥyā ibn Saʿīd al-Qaṭṭān,Yahyaa ibn Sa-iid al-Qattaan,jaħjaː ibn saʕiːd al.qatˤtˤaːn,extended
"Tābiʿīn, Salaf & Gelehrte",aš-Šāfiʿī,asch-Schaafi-ii,aʃ.ʃaːfiʕiː,extended
"Tābiʿīn, Salaf & Gelehrte",Aḥmad ibn Ḥanbal,Ahmad ibn Hanbal,aħmad ibn ħanbal,extended
"Tābiʿīn, Salaf & Gelehrte",Isḥāq ibn Rāhawayh,Ishaaq ibn Raahawayh,isħaːq ibn raːhawajh,extended
"Tābiʿīn, Salaf & Gelehrte",Yaḥyā ibn Maʿīn,Yahyaa ibn Ma-iin,jaħjaː ibn maʕiːn,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAlī ibn al-Madīnī,-Alii ibn al-Madiinii,ʕaliː ibn al.madiːniː,extended
"Tābiʿīn, Salaf & Gelehrte",Abū Zurʿah ar-Rāzī,Abuu Zur-ah ar-Raazii,abuː zurʕah ar.raːziː,extended
"Tābiʿīn, Salaf & Gelehrte",Abū Ḥātim ar-Rāzī,Abuu Haatim ar-Raazii,abuː ħaːtim ar.raːziː,extended
"Tābiʿīn, Salaf & Gelehrte",al-Bukhārī,al-Buchaarii,al.buxaːriː,extended
"Tābiʿīn, Salaf & Gelehrte",Muslim ibn al-Ḥajjāǧ,Muslim ibn al-Hajjaadsch,muslim ibn al.ħajjaːd͡ʒ,extended
"Tābiʿīn, Salaf & Gelehrte",Abū Dāwūd,Abuu Daawuud,abuː daːwuːd,extended
"Tābiʿīn, Salaf & Gelehrte",at-Tirmiḏī,at-Tirmidhii,at.tirmiðiː,extended
"Tābiʿīn, Salaf & Gelehrte",an-Nasāʾī,an-Nasaa-ii,an.nasaːʔiː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Māǧah,Ibn Maadscha,ibn maːd͡ʒah,extended
"Tābiʿīn, Salaf & Gelehrte",ad-Dārimī,ad-Daarimii,ad.daːrimiː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Khuzaymah,Ibn Khuzaymah,ibn xuzajmah,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥibbān,Ibn Hibbaan,ibn ħibbaːn,extended
"Tābiʿīn, Salaf & Gelehrte",aṭ-Ṭabarī,at-Tabarii,atˤ.tˤabariː,extended
"Tābiʿīn, Salaf & Gelehrte",aṭ-Ṭaḥāwī,at-Tahaawii,atˤ.tˤaħaːwiː,extended
"Tābiʿīn, Salaf & Gelehrte",al-Lālakāʾī,al-Laalakaa-ii,al.laːlakaːʔiː,extended
"Tābiʿīn, Salaf & Gelehrte",al-Āǧurrī,al-Aadschurrii,al.aːd͡ʒurriː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Baṭṭah,Ibn Battah,ibn batˤtˤah,extended
"Tābiʿīn, Salaf & Gelehrte",al-Barbahārī,al-Barbahaarii,al.barbahaːriː,extended
"Tābiʿīn, Salaf & Gelehrte",ad-Dāraquṭnī,ad-Daaraqutnii,ad.daːraqutˤniː,extended
"Tābiʿīn, Salaf & Gelehrte",al-Bayhaqī,al-Bayhaqii,al.bajhaqiː,extended
"Tābiʿīn, Salaf & Gelehrte",al-Khaṭīb al-Baġdādī,al-Khatiib al-Baghdaadii,al.xatˤiːb al.baɣdaːdiː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn ʿAbd al-Barr,Ibn Abd al-Barr,ibn ʕabd al.barr,extended
"Tābiʿīn, Salaf & Gelehrte",al-Baġawī,al-Baghawii,al.baɣawiː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Qudāmah,Ibn Qudaamah,ibn qudaːmah,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAbd al-Ġanī al-Maqdisī,-Abd al-Ghanii al-Maqdisii,ʕabd al.ɣaniː al.maqdisiː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Taymiyyah,Ibn Taimiyyah,ibn tajmijjah,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn al-Qayyim,Ibn al-Qayyim,ibn al.qajjim,extended
"Tābiʿīn, Salaf & Gelehrte",aḏ-Ḏahabī,adh-Dhahabii,að.ðahabiː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Kaṯīr,Ibn Kathiir,ibn kaθiːr,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Raǧab,Ibn Radschab,ibn rad͡ʒab,extended
"Tābiʿīn, Salaf & Gelehrte",an-Nawawī,an-Nawawii,an.nawawiː,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥaǧar al-ʿAsqalānī,Ibn Hadschar al-Asqalaanii,ibn ħad͡ʒar al.ʕasqalaːniː,extended
