<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dar_al_tawhid_canonical_terms.csv>index,category,input,alias,ipa,priority
259,Ḥadīṯ-Wissenschaften,Muʿallaq,Mu-allaq,muʕallaq,extended
260,Ḥadīṯ-Wissenschaften,Marfūʿ,Marfuu-,marfuːʕ,extended
261,Ḥadīṯ-Wissenschaften,Mawqūf,Mawquuf,mawquːf,extended
262,Ḥadīṯ-Wissenschaften,Maqṭūʿ,Maqtuu-,maqtˤuːʕ,extended
263,Ḥadīṯ-Wissenschaften,Mutawātir,Mutawaatir,mutawaːtir,extended
264,Ḥadīṯ-Wissenschaften,Āḥād,Aahaad,aːħaːd,extended
265,Ḥadīṯ-Wissenschaften,Ġarīb,Ghariib,ɣariːb,extended
266,Ḥadīṯ-Wissenschaften,ʿAzīz,-Aziiz,ʕaziːz,extended
267,Ḥadīṯ-Wissenschaften,Mašhūr,Maschhuur,maʃhuːr,extended
268,Ḥadīṯ-Wissenschaften,Mudallas,Mudallas,mudallas,extended
269,Ḥadīṯ-Wissenschaften,Tadlīs,Tadliis,tadliːs,extended
270,Ḥadīṯ-Wissenschaften,Šāḏḏ,Schaadhdh,ʃaːðð,extended
271,Ḥadīṯ-Wissenschaften,Munkar,Munkar,munkar,extended
272,Ḥadīṯ-Wissenschaften,Maʿlūl,Ma-luul,maʕluːl,extended
273,Ḥadīṯ-Wissenschaften,ʿIlal,-Ilal,ʕilal,extended
274,Ḥadīṯ-Wissenschaften,Ǧarḥ wa-taʿdīl,Dscharh wa-ta-diil,d͡ʒarħ wa.taʕdiːl,extended
275,Ḥadīṯ-Wissenschaften,Ṯiqah,Thiqah,θiqah,extended
276,Ḥadīṯ-Wissenschaften,Ṣadūq,Saduuq,sˤaduːq,extended
277,Ḥadīṯ-Wissenschaften,Ḍabṭ,Dabt,dˤabtˤ,extended
278,Ḥadīṯ-Wissenschaften,ʿAdālah,-Adaalah,ʕadaːlah,extended
279,Ḥadīṯ-Wissenschaften,Takhrīǧ,Takhriidsch,taxriːd͡ʒ,extended
280,Ḥadīṯ-Wissenschaften,Muṣṭalaḥ al-Ḥadīṯ,Mustalah al-Hadiith,musˤtˤalaħ al.ħadiːθ,extended
281,Ḥadīṯ-Wissenschaften,Musnad,Musnad,musnad,extended
282,Ḥadīṯ-Wissenschaften,Sunan,Sunan,sunan,extended
283,Ḥadīṯ-Wissenschaften,Ǧāmiʿ,Dschaami-,d͡ʒaːmiʕ,extended
284,Ḥadīṯ-Wissenschaften,Muṣannaf,Musannaf,musˤannaf,extended
285,Ḥadīṯ-Wissenschaften,Muʿǧam,Mu-dscham,muʕd͡ʒam,extended
286,Ḥadīṯ-Wissenschaften,Mustadrak,Mustadrak,mustadrak,extended
287,Ḥadīṯ-Wissenschaften,Silsilah,Silsilah,silsilah,extended
288,Propheten & Qurʾānische Personen,Ādam,Aadam,aːdam,core
289,Propheten & Qurʾānische Personen,Idrīs,Idriis,idriːs,core
290,Propheten & Qurʾānische Personen,Ṣāliḥ,Saalih,sˤaːliħ,core
291,Propheten & Qurʾānische Personen,Lūṭ,Luut,luːtˤ,core
292,Propheten & Qurʾānische Personen,Ismāʿīl,Ismaa-iil,ʔis.maːˈʕiːl,core
293,Propheten & Qurʾānische Personen,Isḥāq,Ishaaq,ʔisˈħaːq,core
294,Propheten & Qurʾānische Personen,Yaʿqūb,Ya-quub,jaʕˈquːb,core
295,Propheten & Qurʾānische Personen,Ayyūb,Ayyuub,ajjuːb,core
296,Propheten & Qurʾānische Personen,Šuʿayb,Schu-ayb,ʃuʕajb,core
297,Propheten & Qurʾānische Personen,Mūsā,Muusaa,ˈmuːsaː,core
298,Propheten & Qurʾānische Personen,Hārūn,Haaruun,haːˈruːn,core
299,Propheten & Qurʾānische Personen,Ḏū l-Kifl,Dhuu l-Kifl,ðuː l.kifl,core
300,Propheten & Qurʾānische Personen,Dāwūd,Daawuud,daːwuːd,core
301,Propheten & Qurʾānische Personen,Sulaymān,Sulaymaan,sulajmaːn,core
302,Propheten & Qurʾānische Personen,Ilyās,Ilyaas,iljaːs,core
303,Propheten & Qurʾānische Personen,al-Yasaʿ,al-Yasa-,al.jasaʕ,core
304,Propheten & Qurʾānische Personen,Zakariyyā,Zakariyyaa,zakarijjaː,core
305,Propheten & Qurʾānische Personen,Yaḥyā,Yahyaa,jaħjaː,core
306,Propheten & Qurʾānische Personen,ʿĪsā,Iisaa,ˈʕiːsaː,core
307,Propheten & Qurʾānische Personen,Aḥmad,Ahmad,aħmad,core
308,Propheten & Qurʾānische Personen,Ḏū l-Qarnayn,Dhuu l-Qarnayn,ðuː l.qarnajn,core
309,Propheten & Qurʾānische Personen,al-Khiḍr,al-Chidr,alˈxidˤr,core
310,Propheten & Qurʾānische Personen,Firʿawn,Fir-aun,firˈʕawn,core
311,Propheten & Qurʾānische Personen,Qārūn,Qaaruun,qaːruːn,core
312,Propheten & Qurʾānische Personen,Hāmān,Haamaan,haːmaːn,core
313,Propheten & Qurʾānische Personen,Āzar,Aazar,aːzar,core
314,Propheten & Qurʾānische Personen,Ṭālūt,Taaluut,tˤaːluːt,core
315,Propheten & Qurʾānische Personen,Ǧālūt,Dschaaluut,d͡ʒaːluːt,core
316,Propheten & Qurʾānische Personen,Banū Isrāʾīl,Banuu Israa-iil,banuː israːʔiːl,core
317,Propheten & Qurʾānische Personen,Isrāʾīl,Israa-iil,israːʔiːl,core
318,Propheten & Qurʾānische Personen,Madyan,Madyan,madjan,core
319,Propheten & Qurʾānische Personen,ʿĀd,-Aad,ʕaːd,core
320,Propheten & Qurʾānische Personen,Ṯamūd,Thamuud,θamuːd,core
321,"Engel, Jenseits & Glaubenswelt",Malāʾikah,Malaa-ikah,malaːʔikah,extended
322,"Engel, Jenseits & Glaubenswelt",Malak,Malak,malak,extended
323,"Engel, Jenseits & Glaubenswelt",Ǧibrīl,Dschibriil,d͡ʒibriːl,extended
324,"Engel, Jenseits & Glaubenswelt",Mīkāʾīl,Miikaa-iil,miːkaːʔiːl,extended
325,"Engel, Jenseits & Glaubenswelt",Isrāfīl,Israafiil,israːfiːl,extended
326,"Engel, Jenseits & Glaubenswelt",Mālik,Maalik,maːlik,extended
327,"Engel, Jenseits & Glaubenswelt",Nakīr,Nakiir,nakiːr,extended
328,"Engel, Jenseits & Glaubenswelt",Ǧinn,Dschinn,d͡ʒinn,extended
329,"Engel, Jenseits & Glaubenswelt",Šayṭān,Schaitaan,ʃajtˤaːn,extended
330,"Engel, Jenseits & Glaubenswelt",Šayāṭīn,Schayaatiin,ʃajaːtˤiːn,extended
331,"Engel, Jenseits & Glaubenswelt",Iblīs,Ibliis,ibliːs,extended
332,"Engel, Jenseits & Glaubenswelt",Dajjāl,Dajjaal,dajjaːl,extended
333,"Engel, Jenseits & Glaubenswelt",al-Masīḥ ad-Dajjāl,al-Masiih ad-Dajjaal,al.masiːħ ad.dajjaːl,extended
334,"Engel, Jenseits & Glaubenswelt",Mahdī,Mahdii,mahdiː,extended
335,"Engel, Jenseits & Glaubenswelt",al-Mahdī,al-Mahdii,al.mahdiː,extended
336,"Engel, Jenseits & Glaubenswelt",Ākhirah,Aakhirah,aːxirah,extended
337,"Engel, Jenseits & Glaubenswelt",Yawm al-Qiyāmah,Yawm al-Qiyaamah,jawm al.qijaːmah,extended
338,"Engel, Jenseits & Glaubenswelt",Qiyāmah,Qiyaamah,qijaːmah,extended
339,"Engel, Jenseits & Glaubenswelt",Baʿṯ,Ba-th,baʕθ,extended
340,"Engel, Jenseits & Glaubenswelt",Nušūr,Nuschuur,nuʃuːr,extended
341,"Engel, Jenseits & Glaubenswelt",Ḥašr,Haschr,ħaʃr,extended
342,"Engel, Jenseits & Glaubenswelt",Mīzān,Miizaan,miːzaːn,extended
343,"Engel, Jenseits & Glaubenswelt",Ṣirāṭ,Siraat,sˤiraːtˤ,extended
344,"Engel, Jenseits & Glaubenswelt",Ḥawḍ,Hawd,ħawdˤ,extended
345,"Engel, Jenseits & Glaubenswelt",Šafāʿah,Schafaa-ah,ʃafaːʕah,extended
346,"Engel, Jenseits & Glaubenswelt",Qabr,Qabr,qabr,extended
347,"Engel, Jenseits & Glaubenswelt",Qubūr,Qubuur,qubuːr,extended
348,"Engel, Jenseits & Glaubenswelt",Barzakh,Barzakh,barzax,extended
349,"Engel, Jenseits & Glaubenswelt",Naʿīm al-qabr,Na-iim al-qabr,naʕiːm al.qabr,extended
350,"Engel, Jenseits & Glaubenswelt",ʿAḏāb al-qabr,-Adhaab al-qabr,ʕaðaːb al.qabr,extended
351,"Engel, Jenseits & Glaubenswelt",Ǧannah,Dschannah,d͡ʒannah,extended
352,"Engel, Jenseits & Glaubenswelt",Firdaws,Firdaws,firdaws,extended
353,"Engel, Jenseits & Glaubenswelt",Jahannam,Dschahannam,d͡ʒahannam,extended
354,"Engel, Jenseits & Glaubenswelt",Nār,Naar,naːr,extended
355,"Engel, Jenseits & Glaubenswelt",ʿArš,-Arsch,ʕarʃ,extended
356,"Engel, Jenseits & Glaubenswelt",Kursī,Kursii,kursiː,extended
357,"Engel, Jenseits & Glaubenswelt",Lawḥ al-Maḥfūẓ,Lawh al-Mahfuuz,lawħ al.maħfuːðˤ,extended
358,"Engel, Jenseits & Glaubenswelt",Qalam,Qalam,qalam,extended
359,"Engel, Jenseits & Glaubenswelt",Qadar,Qadar,qadar,extended
360,"Engel, Jenseits & Glaubenswelt",Qaḍāʾ,Qadaa-,qadˤaːʔ,extended
361,"Engel, Jenseits & Glaubenswelt",Fitrah,Fitrah,fitrah,extended
362,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Bakr,Abuu Bakr,abuː bakr,extended
363,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Bakr aṣ-Ṣiddīq,Abuu Bakr as-Siddiiq,abuː bakr asˤ.sˤiddiːq,extended
364,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUmar,-Umar,ʕumar,extended
365,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUmar ibn al-Khaṭṭāb,-Umar ibn al-Khattaab,ʕumar ibn al.xatˤtˤaːb,extended
366,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUṯmān,-Uthmaan,ʕuθmaːn,extended
367,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUṯmān ibn ʿAffān,-Uthmaan ibn Affaan,ʕuθmaːn ibn ʕaffaːn,extended
368,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAlī,-Alii,ʕaliː,extended
369,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAlī ibn Abī Ṭālib,-Alii ibn Abii Taalib,ʕaliː ibn abiː tˤaːlib,extended
370,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ṭalḥah ibn ʿUbaydillāh,Talhah ibn Ubaydillaah,tˤalħah ibn ʕubajdillaːh,extended
371,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",az-Zubayr ibn al-ʿAwwām,az-Zubayr ibn al-Awwaam,az.zubajr ibn al.ʕawwaːm,extended
372,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbd ar-Raḥmān ibn ʿAwf,-Abd ar-Rahmaan ibn Awf,ʕabd ar.raħmaːn ibn ʕawf,extended
373,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Saʿd ibn Abī Waqqāṣ,Sa-d ibn Abii Waqqaas,saʕd ibn abiː waqqaːsˤ,extended
374,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Saʿīd ibn Zayd,Sa-iid ibn Zayd,saʕiːd ibn zajd,extended
375,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū ʿUbaydah ibn al-Ǧarrāḥ,Abuu Ubaydah ibn al-Dscharraah,abuː ʕubajdah ibn al.d͡ʒarraːħ,extended
376,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥamzah ibn ʿAbd al-Muṭṭalib,Hamzah ibn Abd al-Muttalib,ħamzah ibn ʕabd al.mutˤtˤalib,extended
377,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",al-ʿAbbās ibn ʿAbd al-Muṭṭalib,al-Abbaas ibn Abd al-Muttalib,al.ʕabbaːs ibn ʕabd al.mutˤtˤalib,extended
378,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn ʿAbbās,-Abdullaah ibn Abbaas,ʕabdullaːh ibn ʕabbaːs,extended
379,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ibn ʿAbbās,Ibn Abbaas,ibn ʕabbaːs,extended
380,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn Masʿūd,-Abdullaah ibn Mas-uud,ʕabdullaːh ibn masʕuːd,extended
381,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ibn Masʿūd,Ibn Mas-uud,ibn masʕuːd,extended
382,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn ʿUmar,-Abdullaah ibn Umar,ʕabdullaːh ibn ʕumar,extended
383,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ibn ʿUmar,Ibn Umar,ibn ʕumar,extended
384,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAbdullāh ibn ʿAmr,-Abdullaah ibn Amr,ʕabdullaːh ibn ʕamr,extended
385,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Hurayrah,Abuu Hurayrah,abuː hurajrah,extended
386,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Anas ibn Mālik,Anas ibn Maalik,anas ibn maːlik,extended
387,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ǧābir ibn ʿAbdillāh,Dschaabir ibn Abdillaah,d͡ʒaːbir ibn ʕabdillaːh,extended
388,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Saʿīd al-Khudrī,Abuu Sa-iid al-Khudrii,abuː saʕiːd al.xudriː,extended
389,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Ḏarr al-Ġifārī,Abuu Dharr al-Ghifaarii,abuː ðarr al.ɣifaːriː,extended
390,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū ad-Dardāʾ,Abuu ad-Dardaa-,abuː ad.dardaːʔ,extended
391,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Muʿāḏ ibn Ǧabal,Mu-aadh ibn Dschabal,muʕaːð ibn d͡ʒabal,extended
392,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ubayy ibn Kaʿb,Ubayy ibn Ka-b,ubajj ibn kaʕb,extended
393,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Zayd ibn Ṯābit,Zayd ibn Thaabit,zajd ibn θaːbit,extended
394,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Bilāl ibn Rabāḥ,Bilaal ibn Rabaah,bilaːl ibn rabaːħ,extended
395,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Salmān al-Fārisī,Salmaan al-Faarisii,salmaːn al.faːrisiː,extended
396,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ṣuhayb ar-Rūmī,Suhayb ar-Ruumii,sˤuhajb ar.ruːmiː,extended
397,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAmmār ibn Yāsir,-Ammaar ibn Yaasir,ʕammaːr ibn jaːsir,extended
398,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḫabbāb ibn al-Aratt,Chabbaab ibn al-Aratt,xabbaːb ibn al.aratt,extended
399,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥuḏayfah ibn al-Yamān,Hudhayfah ibn al-Yamaan,ħuðajfah ibn al.jamaːn,extended
400,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Mūsā al-Ašʿarī,Abuu Muusaa al-Asch-arii,abuː muːsaː al.aʃʕariː,extended
401,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿImrān ibn Ḥuṣayn,-Imraan ibn Husayn,ʕimraːn ibn ħusˤajn,extended
402,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Samurah ibn Ǧundub,Samurah ibn Dschundub,samurah ibn d͡ʒundub,extended
403,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",al-Barāʾ ibn ʿĀzib,al-Baraa ibn Aazib,al.baraːʔ ibn ʕaːzib,extended
404,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Zayd ibn Arqam,Zayd ibn Arqam,zajd ibn arqam,extended
405,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿUqbah ibn ʿĀmir,-Uqbah ibn Aamir,ʕuqbah ibn ʕaːmir,extended
406,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Abū Ayyūb al-Anṣārī,Abuu Ayyuub al-Ansaarii,abuː ajjuːb al.ansˤaːriː,extended
407,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Khālid ibn al-Walīd,Khaalid ibn al-Waliid,xaːlid ibn al.waliːd,extended
408,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿAmr ibn al-ʿĀṣ,-Amr ibn al-Aas,ʕamr ibn al.ʕaːsˤ,extended
409,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Muʿāwiyah ibn Abī Sufyān,Mu-aawiyah ibn Abii Sufyaan,muʕaːwijah ibn abiː sufjaːn,extended
410,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥasan ibn ʿAlī,Hasan ibn Alii,ħasan ibn ʕaliː,extended
411,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥusayn ibn ʿAlī,Husayn ibn Alii,ħusajn ibn ʕaliː,extended
412,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Fāṭimah az-Zahrāʾ,Faatimah az-Zahraa-,faːtˤimah az.zahraːʔ,extended
413,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Khadīǧah bint Khuwaylid,Khadiidschah bint Khuwaylid,xadiːd͡ʒah bint xuwajlid,extended
414,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",ʿĀʾišah bint Abī Bakr,-Aa-ischah bint Abii Bakr,ʕaːʔiʃah bint abiː bakr,extended
415,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ḥafṣah bint ʿUmar,Hafsah bint Umar,ħafsˤah bint ʕumar,extended
416,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm Salamah,Umm Salamah,umm salamah,extended
417,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Zaynab bint Ǧaḥš,Zaynab bint Dschahsch,zajnab bint d͡ʒaħʃ,extended
418,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ṣafiyyah bint Ḥuyayy,Safiyyah bint Huyayy,sˤafijjah bint ħujajj,extended
419,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Maymūnah bint al-Ḥāriṯ,Maymuunah bint al-Haarith,majmuːnah bint al.ħaːriθ,extended
420,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm Ḥabībah,Umm Habiibah,umm ħabiːbah,extended
421,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Ǧuwayriyyah bint al-Ḥāriṯ,Dschuwayriyyah bint al-Haarith,d͡ʒuwajrijjah bint al.ħaːriθ,extended
422,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Sawdah bint Zamʿah,Sawdah bint Zam-ah,sawdah bint zamʕah,extended
423,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Māriyah al-Qibṭiyyah,Maariyah al-Qibtiyyah,maːrijah al.qibtˤijjah,extended
424,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Asmāʾ bint Abī Bakr,Asmaa bint Abii Bakr,asmaːʔ bint abiː bakr,extended
425,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm Sulaym,Umm Sulaym,umm sulajm,extended
426,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm ʿAṭiyyah,Umm Atiyyah,umm ʕatˤijjah,extended
427,"Ṣaḥābah, Ahl al-Bayt & frühe Generationen",Umm ad-Dardāʾ,Umm ad-Dardaa-,umm ad.dardaːʔ,extended
428,"Tābiʿīn, Salaf & Gelehrte",Saʿīd ibn al-Musayyib,Sa-iid ibn al-Musayyib,saʕiːd ibn al.musajjib,extended
429,"Tābiʿīn, Salaf & Gelehrte",al-Ḥasan al-Baṣrī,al-Hasan al-Basrii,al.ħasan al.basˤriː,extended
430,"Tābiʿīn, Salaf & Gelehrte",Muḥammad ibn Sīrīn,Muhammad ibn Siiriin,muħammad ibn siːriːn,extended
431,"Tābiʿīn, Salaf & Gelehrte",ʿUrwah ibn az-Zubayr,-Urwah ibn az-Zubayr,ʕurwah ibn az.zubajr,extended
432,"Tābiʿīn, Salaf & Gelehrte",al-Qāsim ibn Muḥammad,al-Qaasim ibn Muhammad,al.qaːsim ibn muħammad,extended
433,"Tābiʿīn, Salaf & Gelehrte",Sālim ibn ʿAbdillāh,Saalim ibn Abdillaah,saːlim ibn ʕabdillaːh,extended
434,"Tābiʿīn, Salaf & Gelehrte",Nāfiʿ,Naafi-,naːfiʕ,extended
435,"Tābiʿīn, Salaf & Gelehrte",Mujāhid ibn Ǧabr,Mujaahid ibn Dschabr,mujaːhid ibn d͡ʒabr,extended
436,"Tābiʿīn, Salaf & Gelehrte",ʿIkrimah,-Ikrimah,ʕikrimah,extended
437,"Tābiʿīn, Salaf & Gelehrte",ʿAṭāʾ ibn Abī Rabāḥ,-Ataa ibn Abii Rabaah,ʕatˤaːʔ ibn abiː rabaːħ,extended
438,"Tābiʿīn, Salaf & Gelehrte",Ṭāwūs ibn Kaysān,Taawuus ibn Kaysaan,tˤaːwuːs ibn kajsaːn,extended
439,"Tābiʿīn, Salaf & Gelehrte",Qatādah ibn Diʿāmah,Qataadah ibn Di-aamah,qataːdah ibn diʕaːmah,extended
440,"Tābiʿīn, Salaf & Gelehrte",Masrūq ibn al-Ajdaʿ,Masruuq ibn al-Ajda-,masruːq ibn al.ajdaʕ,extended
441,"Tābiʿīn, Salaf & Gelehrte",ʿAlqamah ibn Qays,-Alqamah ibn Qays,ʕalqamah ibn qajs,extended
442,"Tābiʿīn, Salaf & Gelehrte",al-Aswad ibn Yazīd,al-Aswad ibn Yaziid,al.aswad ibn jaziːd,extended
443,"Tābiʿīn, Salaf & Gelehrte",Ibrāhīm an-Nakhaʿī,Ibraahiim an-Nakha-ii,ibraːhiːm an.naxaʕiː,extended
444,"Tābiʿīn, Salaf & Gelehrte",ʿĀmir aš-Šaʿbī,-Aamir asch-Scha-bii,ʕaːmir aʃ.ʃaʕbiː,extended
445,"Tābiʿīn, Salaf & Gelehrte",Saʿīd ibn Ǧubayr,Sa-iid ibn Dschubayr,saʕiːd ibn d͡ʒubajr,extended
446,"Tābiʿīn, Salaf & Gelehrte",Abū al-ʿĀliyah,Abuu al-Aaliyah,abuː al.ʕaːlijah,extended
447,"Tābiʿīn, Salaf & Gelehrte",Muḥammad al-Bāqir,Muhammad al-Baaqir,muħammad al.baːqir,extended
448,"Tābiʿīn, Salaf & Gelehrte",az-Zuhrī,az-Zuhrii,az.zuhriː,extended
449,"Tābiʿīn, Salaf & Gelehrte",Muḥammad ibn Šihāb az-Zuhrī,Muhammad ibn Schihaab az-Zuhrii,muħammad ibn ʃihaːb az.zuhriː,extended
450,"Tābiʿīn, Salaf & Gelehrte",Rabīʿah ar-Raʾy,Rabii-ah ar-Ra-y,rabiːʕah ar.raʔj,extended
451,"Tābiʿīn, Salaf & Gelehrte",Ǧaʿfar aṣ-Ṣādiq,Dscha-far as-Saadiq,d͡ʒaʕfar asˤ.sˤaːdiq,extended
452,"Tābiʿīn, Salaf & Gelehrte",Abū Ḥanīfah,Abuu Haniifah,abuː ħaniːfah,extended
453,"Tābiʿīn, Salaf & Gelehrte",Mālik ibn Anas,Maalik ibn Anas,maːlik ibn anas,extended
454,"Tābiʿīn, Salaf & Gelehrte",al-Awzāʿī,al-Awzaa-ii,al.awzaːʕiː,extended
455,"Tābiʿīn, Salaf & Gelehrte",Sufyān aṯ-Ṯawrī,Sufyaan ath-Thawrii,sufjaːn aθ.θawriː,extended
456,"Tābiʿīn, Salaf & Gelehrte",al-Layṯ ibn Saʿd,al-Layth ibn Sa-d,al.lajθ ibn saʕd,extended
457,"Tābiʿīn, Salaf & Gelehrte",Sufyān ibn ʿUyaynah,Sufyaan ibn Uyaynah,sufjaːn ibn ʕujajnah,extended
458,"Tābiʿīn, Salaf & Gelehrte",ʿAbdullāh ibn al-Mubārak,-Abdullaah ibn al-Mubaarak,ʕabdullaːh ibn al.mubaːrak,extended
459,"Tābiʿīn, Salaf & Gelehrte",Wakīʿ ibn al-Ǧarrāḥ,Wakii ibn al-Dscharraah,wakiːʕ ibn al.d͡ʒarraːħ,extended
460,"Tābiʿīn, Salaf & Gelehrte",ʿAbd ar-Raḥmān ibn Mahdī,-Abd ar-Rahmaan ibn Mahdii,ʕabd ar.raħmaːn ibn mahdiː,extended
461,"Tābiʿīn, Salaf & Gelehrte",Yaḥyā ibn Saʿīd al-Qaṭṭān,Yahyaa ibn Sa-iid al-Qattaan,jaħjaː ibn saʕiːd al.qatˤtˤaːn,extended
462,"Tābiʿīn, Salaf & Gelehrte",aš-Šāfiʿī,asch-Schaafi-ii,aʃ.ʃaːfiʕiː,extended
463,"Tābiʿīn, Salaf & Gelehrte",Aḥmad ibn Ḥanbal,Ahmad ibn Hanbal,aħmad ibn ħanbal,extended
464,"Tābiʿīn, Salaf & Gelehrte",Isḥāq ibn Rāhawayh,Ishaaq ibn Raahawayh,isħaːq ibn raːhawajh,extended
465,"Tābiʿīn, Salaf & Gelehrte",Yaḥyā ibn Maʿīn,Yahyaa ibn Ma-iin,jaħjaː ibn maʕiːn,extended
466,"Tābiʿīn, Salaf & Gelehrte",ʿAlī ibn al-Madīnī,-Alii ibn al-Madiinii,ʕaliː ibn al.madiːniː,extended
467,"Tābiʿīn, Salaf & Gelehrte",Abū Zurʿah ar-Rāzī,Abuu Zur-ah ar-Raazii,abuː zurʕah ar.raːziː,extended
468,"Tābiʿīn, Salaf & Gelehrte",Abū Ḥātim ar-Rāzī,Abuu Haatim ar-Raazii,abuː ħaːtim ar.raːziː,extended
469,"Tābiʿīn, Salaf & Gelehrte",al-Bukhārī,al-Buchaarii,al.buxaːriː,extended
470,"Tābiʿīn, Salaf & Gelehrte",Muslim ibn al-Ḥajjāǧ,Muslim ibn al-Hajjaadsch,muslim ibn al.ħajjaːd͡ʒ,extended
471,"Tābiʿīn, Salaf & Gelehrte",Abū Dāwūd,Abuu Daawuud,abuː daːwuːd,extended
472,"Tābiʿīn, Salaf & Gelehrte",at-Tirmiḏī,at-Tirmidhii,at.tirmiðiː,extended
473,"Tābiʿīn, Salaf & Gelehrte",an-Nasāʾī,an-Nasaa-ii,an.nasaːʔiː,extended
474,"Tābiʿīn, Salaf & Gelehrte",Ibn Māǧah,Ibn Maadscha,ibn maːd͡ʒah,extended
475,"Tābiʿīn, Salaf & Gelehrte",ad-Dārimī,ad-Daarimii,ad.daːrimiː,extended
476,"Tābiʿīn, Salaf & Gelehrte",Ibn Khuzaymah,Ibn Khuzaymah,ibn xuzajmah,extended
477,"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥibbān,Ibn Hibbaan,ibn ħibbaːn,extended
478,"Tābiʿīn, Salaf & Gelehrte",aṭ-Ṭabarī,at-Tabarii,atˤ.tˤabariː,extended
479,"Tābiʿīn, Salaf & Gelehrte",aṭ-Ṭaḥāwī,at-Tahaawii,atˤ.tˤaħaːwiː,extended
